filename,gt_person,gt_stroller,gt_luggage,gt_box,gt_is_full
Gemini_Generated_Image_2guwok2guwok2guw.png,9,1,0,0,
Gemini_Generated_Image_8lfe788lfe788lfe.png,0,1,0,0,
Gemini_Generated_Image_8p8haz8p8haz8p8h.png,1,1,0,0,
Gemini_Generated_Image_egidy3egidy3egid.png,2,1,1,0,
Gemini_Generated_Image_g3ijkng3ijkng3ij.png,1,1,2,0,
Gemini_Generated_Image_gyvq28gyvq28gyvq.png,4,1,1,2,
Gemini_Generated_Image_t96awnt96awnt96a.png,4,1,2,3,
box100.png,2,0,3,4,
box16.png,2,1,2,1,
box17.png,0,0,0,1,
box18.png,1,1,1,1,
box19.png,2,0,0,4,
box20.png,2,0,3,4,
box21.png,0,0,0,1,
box22.png,0,0,0,8,
box23.png,1,0,0,1,
box24.png,1,0,2,3,
box25.png,1,1,1,1,
box26.png,0,0,0,3,
box27.png,2,2,1,4,
box28.png,0,0,0,4,
box29.png,0,0,0,8,
box30.png,1,0,0,5,
box31.png,0,0,0,1,
box32.png,0,0,0,1,
box33.png,1,1,2,1,
box34.png,0,0,0,1,
box35.png,1,1,2,1,
box36.png,2,1,2,1,
box37.png,0,0,0,1,
box38.png,1,1,1,1,
box39.png,2,0,0,4,
box40.png,2,0,3,4,
box41.png,0,0,0,1,
box42.png,0,0,0,8,
box43.png,1,0,0,1,
box44.png,1,0,2,3,
box45.png,1,1,1,1,
box46.png,0,0,0,3,
box47.png,2,2,1,4,
box48.png,0,0,0,4,
box49.png,0,0,0,8,
box50.png,1,0,0,5,
box91.png,0,0,0,1,
box92.png,0,0,0,1,
box93.png,1,1,2,1,
box94.png,0,0,0,1,
box95.png,1,1,2,1,
box96.png,2,1,2,1,
box97.png,0,0,0,1,
box98.png,1,1,1,1,
box99.png,2,0,0,4,
lug10.png,1,0,3,0,
lug11.png,0,0,1,0,
lug13.png,1,1,4,0,
lug14.png,0,0,1,0,
lug15.png,2,0,5,0,
lug16.png,2,0,4,0,
lug18.png,4,0,1,0,
lug34.jpg,0,0,1,0,
lug36.png,2,0,4,0,
lug37.png,0,0,1,0,
lug38.png,1,1,1,1,
lug39.png,1,1,1,0,
lug40.png,0,0,1,0,
lug41.png,0,1,3,3,
lug42.png,0,0,6,0,
lug43.png,0,0,5,4,
lug44.png,1,1,1,0,
lug45.png,0,1,2,0,
lug46.png,2,1,2,0,
lug47.png,0,0,1,0,
lug48.png,0,1,1,1,
lug49.png,0,0,1,0,
stroller1.png,1,1,0,0,
stroller11.png,0,1,0,0,
stroller12.png,0,6,0,0,
stroller13.png,2,1,0,0,
stroller14.png,0,1,0,0,
stroller15.png,0,1,0,0,
stroller16.png,1,1,0,0,
stroller17.png,9,1,0,0,
stroller19.png,0,1,0,0,
stroller21.png,10,1,0,0,
stroller22.png,1,1,0,0,
stroller23.png,3,1,0,0,
stroller24.png,3,1,0,0,
stroller25.png,0,1,0,0,
stroller26.png,3,1,0,0,
stroller27.png,6,1,0,0,
stroller28.png,7,1,0,0,
stroller29.png,2,3,0,0,
stroller31.jpg,0,1,0,0,
stroller32.png,3,1,0,0,
stroller33.png,3,1,0,0,
stroller34.png,0,1,0,0,
stroller35.png,3,3,0,0,
stroller36.png,3,1,0,0,
stroller37.png,2,1,0,0,
stroller38.png,4,1,0,0,
stroller42.png,6,1,0,0,
stroller43.png,2,1,0,0,
stroller45.png,11,1,0,0,
stroller46.png,4,1,0,0,
stroller47.png,7,1,0,0,
stroller48.png,0,1,0,0,
stroller49.png,9,1,0,0,
stroller50.png,0,1,0,0,
stroller51.png,0,1,0,0,
stroller52.png,9,1,0,0,
stroller53.png,3,1,0,0,
stroller54.png,5,1,0,0,
stroller57.png,0,1,0,0,
stroller58.png,0,1,0,0,
stroller59.png,12,1,0,0,
stroller61.png,2,4,0,0,
stroller62.png,0,1,0,0,
stroller63.png,0,1,0,0,
stroller64.png,0,1,0,0,
stroller65.png,2,1,0,0,
